Date,Transect,Family,Common Name,Species,Only Buds,Early,Peak,Late,Only Fruits
Spring 2021,Forest/Grassland,Asteraceae,Rough eyelashweed,Blepharipappus scaber ,0,0,0,0,0
Spring 2021,Forest/Grassland,Ephedraceae,Green ephedra,Ephedra viridis ,0,0,1,0,0
Spring 2021,Forest/Grassland,Polygonaceae,buckwheat,Eriogonum sp.,0,1,1,0,0
Spring 2021,Forest/Grassland,Boraginaceae,Fiddleneck,Amsinckia tessellata ,1,1,1,1,1
Spring 2021,Forest/Grassland,Rosaceae,Utah serviceberry,Amelanchier utahensis,0,0,1,1,1
Fall 2021,Forest/Grassland,Asteraceae,Yellow rabbitbrush,Chrysothamnus viscidiflorus,1,1,0,0,0
Fall 2021,Forest/Grassland,Asteraceae,Rubber rabbitbrush,Ericameria nauseosa,1,1,1,1,0
Fall 2021,Forest/Grassland,Asteraceae,Big sagebrush,Artemisia tridentata,0,1,1,0,0
Fall 2021,Forest/Grassland,Asteraceae,Broom snakeweed,Gutierrezia sarothrae,0,0,1,1,0
Spring 2021,Riparian/Wetland,Asteraceae,Cobweb thistle,Cirsium occidentale ,0,0,0,1,0
Spring 2021,Riparian/Wetland,Poaceae,Bluegrass,Poa sp.,0,1,0,0,0
Spring 2021,Riparian/Wetland,Salicaceae,Willow,Salix sp.,0,1,1,0,0
Fall 2021,Riparian/Wetland,Apocynaceae,narrowleaf milkweed,Asclepias fascicularis,0,0,0,1,0
Fall 2021,Riparian/Wetland,Asteraceae,Big sagebrush,Artemisia tridentata,0,1,1,1,0
Fall 2021,Riparian/Wetland,Asteraceae,Yellow rabbitbrush,Chrysothamnus viscidiflorus,0,0,0,1,0
Fall 2021,Riparian/Wetland,Asteraceae,Rubber rabbitbrush,Ericameria nauseosa,0,1,1,1,0
Fall 2021,Riparian/Wetland,Asteraceae,Goldenrod,Solidago sp.,0,0,0,1,1
Fall 2021,Riparian/Wetland,Rosaceae,Wood's rose,Rosa woodsii,0,0,0,1,1
Fall 2021,Riparian/Wetland,Typhaceae,Broad-leaved cattail,Typha latifolia,0,0,0,1,0
Spring 2021,SageBrush,Asteraceae,White tidy tips,Layia glandulosa ,0,0,0,1,0
Spring 2021,SageBrush,Ephedraceae,Green ephedra,Ephedra viridis ,0,1,0,0,0
Spring 2021,SageBrush,Loasaceae,Whitestem blazingstar,Mentzelia albicaulis,0,1,0,0,0
Spring 2021,SageBrush,Rosaceae,Antelope bitterbrush,Purshia tridentata ,0,1,0,0,0
Spring 2021,SageBrush,Amaranthaceae,Spiny hopsage,Grayia spinosa,0,1,0,0,0
Spring 2021,SageBrush,Asteraceae,Rough eyelashweed,Blepharipappus scaber ,0,1,1,0,0
Spring 2021,SageBrush,Boraginaceae,Fiddleneck,Amsinckia tessellata ,0,1,0,0,0
Spring 2021,SageBrush,Ephedraceae,Nevada ephedra,Ephedra nevadensis ,0,1,0,0,0
Spring 2021,SageBrush,Orobanchaceae,Desert paintbrush,Castilleja chromosa,0,0,1,0,0
Spring 2021,SageBrush,Rosaceae,Desert peach,Prunus andersonii,0,1,0,0,0
Fall 2021,SageBrush,Asteraceae,Yellow rabbitbrush,Chrysothamnus viscidiflorus,0,1,1,1,0
Fall 2021,SageBrush,Asteraceae,Big sagebrush,Artemisia tridentata,0,1,1,1,0
Fall 2021,SageBrush,Asteraceae,Rubber rabbitbrush,Ericameria nauseosa,0,1,1,0,0
Fall 2021,SageBrush,Asteraceae,Broom snakeweed,Gutierrezia sarothrae,0,1,1,1,0
Spring 2022,Forest/Grassland,Asteraceae,Western hawksbeard,Crepis occidentalis,1,1,1,0,0
Spring 2022,Forest/Grassland,Boraginaceae,Longleaf phlox,Phlox longifolia,0,1,1,1,0
Spring 2022,Forest/Grassland,Valerianaceae,Longhorn sealblush,Plectritis macrocerca,0,0,1,0,0
