DATE,YEAR,MONTH,WEEK,SNOW_WC,SNOW_MELT,SNOW_PACK,TEMP_MN,TEMP_MX,TEMP_AV
12/21/2020,2021,Dec,1,4.6,0.0,0.0,33,50,39
12/22/2020,2021,Dec,1,4.2,0.4,0.0,19,38,30
12/23/2020,2021,Dec,1,4.2,0.0,0.0,24,37,32
12/24/2020,2021,Dec,1,4.2,0.0,0.0,27,44,34
12/25/2020,2021,Dec,1,4.2,0.0,0.0,30,37,33
12/26/2020,2021,Dec,1,4.5,0.0,0.3,17,30,24
12/27/2020,2021,Dec,1,4.8,0.0,0.3,19,30,23
12/28/2020,2021,Dec,2,4.9,0.0,0.1,19,24,21
12/29/2020,2021,Dec,2,4.9,0.0,0.0,13,33,22
12/30/2020,2021,Dec,2,4.9,0.0,0.0,23,38,30
12/31/2020,2021,Dec,2,5.3,0.0,0.4,19,30,25
01/01/2021,2021,Jan,2,5.3,0.0,0.0,27,48,36
01/02/2021,2021,Jan,2,5.3,0.0,0.0,29,36,32
01/03/2021,2021,Jan,2,5.3,0.0,0.0,28,38,32
01/04/2021,2021,Jan,3,5.3,0.0,0.0,24,34,30
01/05/2021,2021,Jan,3,6.0,0.0,0.7,18,40,28
01/06/2021,2021,Jan,3,6.0,0.0,0.0,27,41,33
01/07/2021,2021,Jan,3,6.1,0.0,0.1,23,43,31
01/08/2021,2021,Jan,3,6.1,0.0,0.0,16,35,28
01/09/2021,2021,Jan,3,6.0,0.1,0.0,15,40,29
01/10/2021,2021,Jan,3,6.0,0.0,0.0,26,39,33
01/11/2021,2021,Jan,4,5.9,0.1,0.0,30,47,37
01/12/2021,2021,Jan,4,5.9,0.0,0.0,36,41,38
01/13/2021,2021,Jan,4,5.9,0.0,0.0,31,43,38
01/14/2021,2021,Jan,4,6.1,0.0,0.2,33,52,40
01/15/2021,2021,Jan,4,6.0,0.1,0.0,33,55,43
01/16/2021,2021,Jan,4,6.2,0.0,0.2,31,49,38
01/17/2021,2021,Jan,4,6.1,0.1,0.0,30,50,39
01/18/2021,2021,Jan,5,6.1,0.0,0.0,18,36,29
01/19/2021,2021,Jan,5,6.1,0.0,0.0,14,24,19
01/20/2021,2021,Jan,5,6.2,0.0,0.1,22,44,32
01/21/2021,2021,Jan,5,5.9,0.3,0.0,27,43,34
01/22/2021,2021,Jan,5,5.8,0.1,0.0,18,29,26
01/23/2021,2021,Jan,5,5.6,0.2,0.0,18,24,21
01/24/2021,2021,Jan,5,6.0,0.0,0.4,14,28,20
01/25/2021,2021,Jan,6,6.0,0.0,0.0,12,19,16
01/26/2021,2021,Jan,6,6.2,0.0,0.2,4,25,17
01/27/2021,2021,Jan,6,7.0,0.0,0.8,22,27,25
01/28/2021,2021,Jan,6,8.5,0.0,1.5,22,28,25
01/29/2021,2021,Jan,6,9.6,0.0,1.1,18,29,22
01/30/2021,2021,Jan,6,9.6,0.0,0.0,17,34,26
01/31/2021,2021,Jan,6,9.7,0.0,0.1,24,40,32
02/01/2021,2021,Feb,7,9.8,0.0,0.1,30,42,35
02/02/2021,2021,Feb,7,10.0,0.0,0.2,25,35,30
02/03/2021,2021,Feb,7,10.5,0.0,0.5,18,25,21
02/04/2021,2021,Feb,7,10.4,0.1,0.0,14,38,28
02/05/2021,2021,Feb,7,10.4,0.0,0.0,27,44,34
02/06/2021,2021,Feb,7,10.4,0.0,0.0,28,49,37
02/07/2021,2021,Feb,7,10.4,0.0,0.0,28,45,35
02/08/2021,2021,Feb,8,10.5,0.0,0.1,31,43,36
02/09/2021,2021,Feb,8,10.5,0.0,0.0,30,37,32
02/10/2021,2021,Feb,8,10.7,0.0,0.2,29,41,34
02/11/2021,2021,Feb,8,10.7,0.0,0.0,28,41,33
02/12/2021,2021,Feb,8,11.3,0.0,0.6,23,40,31
02/13/2021,2021,Feb,8,11.6,0.0,0.3,20,28,25
02/14/2021,2021,Feb,8,12.0,0.0,0.4,17,31,26
02/15/2021,2021,Feb,9,12.0,0.0,0.0,25,35,31
02/16/2021,2021,Feb,9,12.0,0.0,0.0,15,30,22
02/17/2021,2021,Feb,9,12.0,0.0,0.0,10,24,17
02/18/2021,2021,Feb,9,12.0,0.0,0.0,17,41,29
02/19/2021,2021,Feb,9,12.1,0.0,0.1,23,39,31
02/20/2021,2021,Feb,9,12.3,0.0,0.2,15,27,21
02/21/2021,2021,Feb,9,12.4,0.0,0.1,14,37,27
02/22/2021,2021,Feb,10,12.5,0.0,0.1,30,50,38
02/23/2021,2021,Feb,10,12.5,0.0,0.0,23,42,32
02/24/2021,2021,Feb,10,12.5,0.0,0.0,14,35,23
02/25/2021,2021,Feb,10,12.5,0.0,0.0,20,45,34
02/26/2021,2021,Feb,10,12.4,0.1,0.0,19,38,30
02/27/2021,2021,Feb,10,12.4,0.0,0.0,13,27,20
02/28/2021,2021,Feb,10,12.3,0.1,0.0,20,36,28
03/01/2021,2021,Mar,11,12.2,0.1,0.0,26,42,34
03/02/2021,2021,Mar,11,12.3,0.0,0.1,24,42,33
03/03/2021,2021,Mar,11,12.2,0.1,0.0,27,40,33
03/04/2021,2021,Mar,11,12.2,0.0,0.0,28,43,35
03/05/2021,2021,Mar,11,12.2,0.0,0.0,31,48,40
03/06/2021,2021,Mar,11,12.4,0.0,0.2,22,35,29
03/07/2021,2021,Mar,11,13.0,0.0,0.6,27,44,35
03/08/2021,2021,Mar,12,13.1,0.0,0.1,18,29,24
03/09/2021,2021,Mar,12,13.0,0.1,0.0,15,29,21
03/10/2021,2021,Mar,12,13.1,0.0,0.1,11,25,19
03/11/2021,2021,Mar,12,13.2,0.0,0.1,9,25,19
03/12/2021,2021,Mar,12,13.5,0.0,0.3,18,33,24
03/13/2021,2021,Mar,12,13.5,0.0,0.0,18,43,31
03/14/2021,2021,Mar,12,13.6,0.0,0.1,28,42,33
03/15/2021,2021,Mar,13,13.6,0.0,0.0,15,28,21
03/16/2021,2021,Mar,13,13.7,0.0,0.1,22,40,30
03/17/2021,2021,Mar,13,13.7,0.0,0.0,24,43,35
03/18/2021,2021,Mar,13,13.7,0.0,0.0,31,42,35
