DATE,CYCLE,MONTH,SNOW_WC,SNOW_MELT,SNOW_PACK,TEMP_AV,TEMP_MN,TEMP_MX
12/21/2020,2021,Dec,15.1,0,0,39,33,50
12/22/2020,2021,Dec,4.2,10.9,0,30,19,38
12/23/2020,2021,Dec,4.2,0.0,0,32,24,37
12/24/2020,2021,Dec,4.2,0.0,0,34,27,44
12/25/2020,2021,Dec,4.2,0.0,0,33,30,37
12/26/2020,2021,Dec,4.5,0.0,0.3,24,17,30
12/27/2020,2021,Dec,4.8,0.0,0.3,23,19,30
12/28/2020,2021,Dec,4.9,0.0,0.1,21,19,24
12/29/2020,2021,Dec,4.9,0.0,0,22,13,33
12/30/2020,2021,Dec,4.9,0.0,0,30,23,38
12/31/2020,2021,Dec,5.3,0.0,0.4,25,19,30
01/01/2021,2021,Jan,5.3,0.0,0,36,27,48
01/02/2021,2021,Jan,5.3,0.0,0,32,29,36
01/03/2021,2021,Jan,5.3,0.0,0,32,28,38
01/04/2021,2021,Jan,5.3,0.0,0,30,24,34
01/05/2021,2021,Jan,6,0.0,0.7,28,18,40
01/06/2021,2021,Jan,6,0.0,0,33,27,41
01/07/2021,2021,Jan,6.1,0.0,0.1,31,23,43
01/08/2021,2021,Jan,6.1,0.0,0,28,16,35
01/09/2021,2021,Jan,6,0.1,0,29,15,40
01/10/2021,2021,Jan,6,0.0,0,33,26,39
01/11/2021,2021,Jan,5.9,0.1,0,37,30,47
01/12/2021,2021,Jan,5.9,0.0,0,38,36,41
01/13/2021,2021,Jan,5.9,0.0,0,38,31,43
01/14/2021,2021,Jan,6.1,0.0,0.2,40,33,52
01/15/2021,2021,Jan,6,0.1,0,43,33,55
01/16/2021,2021,Jan,6.2,0.0,0.2,38,31,49
01/17/2021,2021,Jan,6.1,0.1,0,39,30,50
01/18/2021,2021,Jan,6.1,0.0,0,29,18,36
01/19/2021,2021,Jan,6.1,0.0,0,19,14,24
01/20/2021,2021,Jan,6.2,0.0,0.1,32,22,44
01/21/2021,2021,Jan,5.9,0.3,0,34,27,43
01/22/2021,2021,Jan,5.8,0.1,0,26,18,29
01/23/2021,2021,Jan,5.6,0.2,0,21,18,24
01/24/2021,2021,Jan,6,0.0,0.4,20,14,28
01/25/2021,2021,Jan,6,0.0,0,16,12,19
01/26/2021,2021,Jan,6.2,0.0,0.2,17,4,25
01/27/2021,2021,Jan,7,0.0,0.8,25,22,27
01/28/2021,2021,Jan,8.5,0.0,1.5,25,22,28
01/29/2021,2021,Jan,9.6,0.0,1.1,22,18,29
01/30/2021,2021,Jan,9.6,0.0,0,26,17,34
01/31/2021,2021,Jan,9.7,0.0,0.1,32,24,40
02/01/2021,2021,Feb,9.8,0.0,0.1,35,30,42
02/02/2021,2021,Feb,10,0.0,0.2,30,25,35
02/03/2021,2021,Feb,10.5,0.0,0.5,21,18,25
02/04/2021,2021,Feb,10.4,0.1,0,28,14,38
02/05/2021,2021,Feb,10.4,0.0,0,34,27,44
02/06/2021,2021,Feb,10.4,0.0,0,37,28,49
02/07/2021,2021,Feb,10.4,0.0,0,35,28,45
02/08/2021,2021,Feb,10.5,0.0,0.1,36,31,43
02/09/2021,2021,Feb,10.5,0.0,0,32,30,37
02/10/2021,2021,Feb,10.7,0.0,0.2,34,29,41
02/11/2021,2021,Feb,10.7,0.0,0,33,28,41
02/12/2021,2021,Feb,11.3,0.0,0.6,31,23,40
02/13/2021,2021,Feb,11.6,0.0,0.3,25,20,28
02/14/2021,2021,Feb,12,0.0,0.4,26,17,31
02/15/2021,2021,Feb,12,0.0,0,31,25,35
02/16/2021,2021,Feb,12,0.0,0,22,15,30
02/17/2021,2021,Feb,12,0.0,0,17,10,24
02/18/2021,2021,Feb,12,0.0,0,29,17,41
02/19/2021,2021,Feb,12.1,0.0,0.1,31,23,39
02/20/2021,2021,Feb,12.3,0.0,0.2,21,15,27
02/21/2021,2021,Feb,12.4,0.0,0.1,27,14,37
02/22/2021,2021,Feb,12.5,0.0,0.1,38,30,50
02/23/2021,2021,Feb,12.5,0.0,0,32,23,42
02/24/2021,2021,Feb,12.5,0.0,0,23,14,35
02/25/2021,2021,Feb,12.5,0.0,0,34,20,45
02/26/2021,2021,Feb,12.4,0.1,0,30,19,38
02/27/2021,2021,Feb,12.4,0.0,0,20,13,27
02/28/2021,2021,Feb,12.3,0.1,0,28,20,36
03/01/2021,2021,Mar,12.2,0.1,0,34,26,42
03/02/2021,2021,Mar,12.3,0.0,0.1,33,24,42
03/03/2021,2021,Mar,12.2,0.1,0,33,27,40
03/04/2021,2021,Mar,12.2,0.0,0,35,28,43
03/05/2021,2021,Mar,12.2,0.0,0,40,31,48
03/06/2021,2021,Mar,12.4,0.0,0.2,29,22,35
03/07/2021,2021,Mar,13,0.0,0.6,35,27,44
03/08/2021,2021,Mar,13.1,0.0,0.1,24,18,29
03/09/2021,2021,Mar,13,0.1,0,21,15,29
03/10/2021,2021,Mar,13.1,0.0,0.1,19,11,25
03/11/2021,2021,Mar,13.2,0.0,0.1,19,9,25
03/12/2021,2021,Mar,13.5,0.0,0.3,24,18,33
03/13/2021,2021,Mar,13.5,0.0,0,31,18,43
03/14/2021,2021,Mar,13.6,0.0,0.1,33,28,42
03/15/2021,2021,Mar,13.6,0.0,0,21,15,28
03/16/2021,2021,Mar,13.7,0.0,0.1,30,22,40
03/17/2021,2021,Mar,13.7,0.0,0,35,24,43
03/18/2021,2021,Mar,13.7,0.0,0,35,31,42
03/19/2021,2021,Mar,14.2,0.0,0.5,31,26,35
12/21/2021,2022,Dec,7.7,6.5,0,37,32,44
12/22/2021,2022,Dec,7.8,0.0,0.1,33,31,35
12/23/2021,2022,Dec,8.7,0.0,0.9,29,27,33
12/24/2021,2022,Dec,11.2,0.0,2.5,24,20,28
12/25/2021,2022,Dec,12.1,0.0,0.9,21,16,24
12/26/2021,2022,Dec,13.8,0.0,1.7,15,11,18
12/27/2021,2022,Dec,15,0.0,1.2,18,15,19
12/28/2021,2022,Dec,15.7,0.0,0.7,19,15,23
12/29/2021,2022,Dec,15.9,0.0,0.2,22,19,27
12/30/2021,2022,Dec,16,0.0,0.1,23,20,28
12/31/2021,2022,Dec,16,0.0,0,17,5,26
01/01/2022,2022,Jan,15.8,0.2,0,20,4,34
01/02/2022,2022,Jan,15.8,0.0,0,29,26,33
01/03/2022,2022,Jan,15.7,0.1,0,28,26,32
01/04/2022,2022,Jan,15.5,0.2,0,31,29,33
01/05/2022,2022,Jan,15.4,0.1,0,37,33,44
01/06/2022,2022,Jan,15.5,0.0,0.1,39,35,45
01/07/2022,2022,Jan,15.4,0.1,0,30,22,35
01/08/2022,2022,Jan,15.4,0.0,0,25,18,33
01/09/2022,2022,Jan,15.3,0.1,0,27,17,42
01/10/2022,2022,Jan,15.3,0.0,0,32,27,41
01/11/2022,2022,Jan,15.4,0.0,0.1,38,29,49
01/12/2022,2022,Jan,15.4,0.0,0,44,35,56
01/13/2022,2022,Jan,15.4,0.0,0,39,28,45
01/14/2022,2022,Jan,15.4,0.0,0,31,27,36
01/15/2022,2022,Jan,15.3,0.1,0,39,32,54
01/16/2022,2022,Jan,15.3,0.0,0,38,31,49
01/17/2022,2022,Jan,15.2,0.1,0,35,30,44
01/18/2022,2022,Jan,15.2,0.0,0,33,28,43
01/19/2022,2022,Jan,15.2,0.0,0,30,24,38
01/20/2022,2022,Jan,15.2,0.0,0,38,30,49
01/21/2022,2022,Jan,15.2,0.0,0,25,21,32
01/22/2022,2022,Jan,15.1,0.1,0,25,19,30
01/23/2022,2022,Jan,15.2,0.0,0.1,36,27,42
01/24/2022,2022,Jan,15.2,0.0,0,38,29,50
01/25/2022,2022,Jan,15.1,0.1,0,29,23,34
01/26/2022,2022,Jan,15.1,0.0,0,31,24,43
01/27/2022,2022,Jan,15.1,0.0,0,32,27,37
01/28/2022,2022,Jan,15.1,0.0,0,35,28,47
01/29/2022,2022,Jan,15.1,0.0,0,33,27,46
01/30/2022,2022,Jan,15.1,0.0,0,36,26,49
01/31/2022,2022,Jan,15.3,0.0,0.2,32,22,41
02/01/2022,2022,Feb,15.2,0.1,0,18,13,22
02/02/2022,2022,Feb,15.2,0.0,0,19,10,26
02/03/2022,2022,Feb,15.3,0.0,0.1,27,20,34
02/04/2022,2022,Feb,15.3,0.0,0,33,27,43
02/05/2022,2022,Feb,15.4,0.0,0.1,35,31,42
02/06/2022,2022,Feb,15.4,0.0,0,38,31,44
02/07/2022,2022,Feb,15.4,0.0,0,38,31,52
02/08/2022,2022,Feb,15.4,0.0,0,38,32,44
02/09/2022,2022,Feb,15.4,0.0,0,39,35,44
02/10/2022,2022,Feb,15.4,0.0,0,42,36,51
02/11/2022,2022,Feb,15.3,0.1,0,43,38,49
02/12/2022,2022,Feb,15.3,0.0,0,41,31,51
02/13/2022,2022,Feb,15.3,0.0,0,43,38,49
02/14/2022,2022,Feb,15.2,0.1,0,37,25,44
02/15/2022,2022,Feb,15.5,0.0,0.3,19,16,22
02/16/2022,2022,Feb,15.7,0.0,0.2,24,17,32
02/17/2022,2022,Feb,15.7,0.0,0,31,21,44
02/18/2022,2022,Feb,15.7,0.0,0,36,33,44
02/19/2022,2022,Feb,15.7,0.0,0,36,29,46
02/20/2022,2022,Feb,15.6,0.1,0,33,26,41
02/21/2022,2022,Feb,15.6,0.0,0,19,16,24
02/22/2022,2022,Feb,16.2,0.0,0.6,14,10,18
02/23/2022,2022,Feb,16.6,0.0,0.4,9,0,17
02/24/2022,2022,Feb,16.6,0.0,0,16,2,29
02/25/2022,2022,Feb,16.6,0.0,0,17,8,29
02/26/2022,2022,Feb,16.6,0.0,0,33,17,45
02/27/2022,2022,Feb,16.7,0.0,0.1,35,29,44
02/28/2022,2022,Feb,16.6,0.1,0,40,30,50
03/01/2022,2022,Mar,16.6,0.0,0,44,39,52
03/02/2022,2022,Mar,16.3,0.3,0,43,39,51
03/03/2022,2022,Mar,16.4,0.0,0.1,39,31,46
03/04/2022,2022,Mar,16,0.4,0,28,15,36
03/05/2022,2022,Mar,16.6,0.0,0.6,18,14,24
03/06/2022,2022,Mar,16.6,0.0,0,21,11,31
03/07/2022,2022,Mar,16.6,0.0,0,24,15,31
03/08/2022,2022,Mar,16.8,0.0,0.2,30,19,39
03/09/2022,2022,Mar,17.1,0.0,0.3,30,21,38
03/10/2022,2022,Mar,17.4,0.0,0.3,22,11,28
03/11/2022,2022,Mar,17.9,0.0,0.5,34,24,45
03/12/2022,2022,Mar,18,0.0,0.1,37,30,45
03/13/2022,2022,Mar,17.1,0.9,0,30,26,35
03/14/2022,2022,Mar,17.8,0.0,0.7,38,27,49
03/15/2022,2022,Mar,17.9,0.0,0.1,35,31,40
03/16/2022,2022,Mar,18.5,0.0,0.6,33,27,44
03/17/2022,2022,Mar,18.6,0.0,0.1,33,26,41
03/18/2022,2022,Mar,18.5,0.1,0,39,27,48
03/19/2022,2022,Mar,18.2,0.3,0,32,27,36
03/20/2022,2022,Mar,18.3,0.0,0.1,29,17,38
12/21/2022,2023,Dec,9.4,8.9,0,33,28,37
12/22/2022,2023,Dec,9.4,0.0,0,36,29,44
12/23/2022,2023,Dec,9.4,0.0,0,36,32,42
12/24/2022,2023,Dec,9.4,0.0,0,40,32,50
12/25/2022,2023,Dec,9.4,0.0,0,42,34,52
12/26/2022,2023,Dec,9.4,0.0,0,43,35,49
12/27/2022,2023,Dec,10.1,0.0,0.7,31,24,37
12/28/2022,2023,Dec,11.3,0.0,1.2,22,19,28
12/29/2022,2023,Dec,11.4,0.0,0.1,29,21,32
12/30/2022,2023,Dec,11.4,0.0,0,36,33,38
