DATE,YEAR,SEASON,MONTH,WEEK,SNOW_WC,SNOW_MELT,SNOW_PACK,RAIN_INCHES,TEMP_MAX,TEMP_MIN,TEMP_AVERAGE
12/21/2020,2021,Winter,Dec,1,4.6,0,0,1.75,56,22,39
12/22/2020,2021,Winter,Dec,1,4.2,0.4,0,5.01,48,26,37
12/23/2020,2021,Winter,Dec,1,4.2,0,0,5.00,41,18,29.5
12/24/2020,2021,Winter,Dec,1,4.2,0,0,5.02,42,18,30
12/25/2020,2021,Winter,Dec,1,4.2,0,0,5.06,54,22,38
12/26/2020,2021,Winter,Dec,1,4.5,0,0.3,5.46,47,26,36.5
12/27/2020,2021,Winter,Dec,1,4.8,0,0.3,5.55,39,23,31
12/28/2020,2021,Winter,Dec,2,4.9,0,0.1,5.89,40,27,33.5
12/29/2020,2021,Winter,Dec,2,4.9,0,0,5.14,44,18,31
12/30/2020,2021,Winter,Dec,2,4.9,0,0,5.68,52,21,36.5
12/31/2020,2021,Winter,Dec,2,5.3,0,0.4,5.91,44,25,34.5
1/1/2021,2021,Winter,Jan,2,5.3,0,0,5.95,43,21,32
1/2/2021,2021,Winter,Jan,2,5.3,0,0,5.96,52,25,38.5
1/3/2021,2021,Winter,Jan,2,5.3,0,0,5.96,54,38,46
1/4/2021,2021,Winter,Jan,3,5.3,0,0,6.48,56,35,45.5
1/5/2021,2021,Winter,Jan,3,6,0,0.7,6.52,49,24,36.5
1/6/2021,2021,Winter,Jan,3,6,0,0,6.55,54,24,39
1/7/2021,2021,Winter,Jan,3,6.1,0,0.1,5.97,48,21,34.5
1/8/2021,2021,Winter,Jan,3,6.1,0,0,6.83,55,28,41.5
1/9/2021,2021,Winter,Jan,3,6,0.1,0,6.22,45,19,32
1/10/2021,2021,Winter,Jan,3,6,0,0,6.56,48,22,35
1/11/2021,2021,Winter,Jan,4,5.9,0.1,0,6.85,50,24,37
1/12/2021,2021,Winter,Jan,4,5.9,0,0,6.58,58,31,44.5
1/13/2021,2021,Winter,Jan,4,5.9,0,0,6.60,63,35,49
1/14/2021,2021,Winter,Jan,4,6.1,0,0.2,6.55,59,27,43
1/15/2021,2021,Winter,Jan,4,6,0.1,0,6.28,60,28,44
1/16/2021,2021,Winter,Jan,4,6.2,0,0.2,6.53,59,28,43.5
1/17/2021,2021,Winter,Jan,4,6.1,0.1,0,6.25,60,28,44
1/18/2021,2021,Winter,Jan,5,6.1,0,0,6.52,52,31,41.5
1/19/2021,2021,Winter,Jan,5,6.1,0,0,6.45,43,29,36
1/20/2021,2021,Winter,Jan,5,6.2,0,0.1,6.21,51,21,36
1/21/2021,2021,Winter,Jan,5,5.9,0.3,0,6.50,52,20,36
1/22/2021,2021,Winter,Jan,5,5.8,0.1,0,6.24,49,31,40
1/23/2021,2021,Winter,Jan,5,5.6,0.2,0,6.90,39,28,33.5
1/24/2021,2021,Winter,Jan,5,6,0,0.4,6.09,44,22,33
1/25/2021,2021,Winter,Jan,6,6,0,0,6.84,31,25,28
1/26/2021,2021,Winter,Jan,6,6.2,0,0.2,6.97,37,16,26.5
1/27/2021,2021,Winter,Jan,6,7,0,0.8,7.94,40,32,36
1/28/2021,2021,Winter,Jan,6,8.5,0,1.5,7.79,38,32,35
1/29/2021,2021,Winter,Jan,6,9.6,0,1.1,10.08,40,29,34.5
1/30/2021,2021,Winter,Jan,6,9.6,0,0,10.57,43,24,33.5
1/31/2021,2021,Winter,Jan,6,9.7,0,0.1,10.17,47,26,36.5
2/1/2021,2021,Winter,Feb,7,9.8,0,0.1,10.20,58,28,43
2/2/2021,2021,Winter,Feb,7,10,0,0.2,10.71,57,40,48.5
2/3/2021,2021,Winter,Feb,7,10.5,0,0.5,9.98,44,32,38
2/4/2021,2021,Winter,Feb,7,10.4,0.1,0,10.45,46,24,35
2/5/2021,2021,Winter,Feb,7,10.4,0,0,10.48,56,22,39
2/6/2021,2021,Winter,Feb,7,10.4,0,0,10.04,58,22,40
2/7/2021,2021,Winter,Feb,7,10.4,0,0,10.49,60,22,41
2/8/2021,2021,Winter,Feb,8,10.5,0,0.1,10.05,58,25,41.5
2/9/2021,2021,Winter,Feb,8,10.5,0,0,11.00,52,39,45.5
2/10/2021,2021,Winter,Feb,8,10.7,0,0.2,10.58,59,37,48
2/11/2021,2021,Winter,Feb,8,10.7,0,0,10.60,55,34,44.5
2/12/2021,2021,Winter,Feb,8,11.3,0,0.6,11.06,57,31,44
2/13/2021,2021,Winter,Feb,8,11.6,0,0.3,11.50,49,36,42.5
2/14/2021,2021,Winter,Feb,8,12,0,0.4,10.60,47,32,39.5
2/15/2021,2021,Winter,Feb,9,12,0,0,11.74,54,39,46.5
2/16/2021,2021,Winter,Feb,9,12,0,0,11.72,47,30,38.5
2/17/2021,2021,Winter,Feb,9,12,0,0,11.65,42,24,33
2/18/2021,2021,Winter,Feb,9,12,0,0,11.70,41,20,30.5
2/19/2021,2021,Winter,Feb,9,12.1,0,0.1,11.80,60,34,47
2/20/2021,2021,Winter,Feb,9,12.3,0,0.2,12.02,44,29,36.5
2/21/2021,2021,Winter,Feb,9,12.4,0,0.1,12.04,51,23,37
2/22/2021,2021,Winter,Feb,10,12.5,0,0.1,12.10,61,25,43
2/23/2021,2021,Winter,Feb,10,12.5,0,0,11.52,60,29,44.5
2/24/2021,2021,Winter,Feb,10,12.5,0,0,11.46,43,22,32.5
2/25/2021,2021,Winter,Feb,10,12.5,0,0,12.02,51,21,36
2/26/2021,2021,Winter,Feb,10,12.4,0.1,0,12.04,57,23,40
2/27/2021,2021,Winter,Feb,10,12.4,0,0,11.98,45,22,33.5
2/28/2021,2021,Winter,Feb,10,12.3,0.1,0,11.47,51,22,36.5
3/1/2021,2021,Winter,Mar,11,12.2,0.1,0,12.00,61,23,42
3/2/2021,2021,Winter,Mar,11,12.3,0,0.1,11.46,59,26,42.5
3/3/2021,2021,Winter,Mar,11,12.2,0.1,0,12.00,56,28,42
3/4/2021,2021,Winter,Mar,11,12.2,0,0,11.49,63,27,45
3/5/2021,2021,Winter,Mar,11,12.2,0,0,12.01,68,27,47.5
3/6/2021,2021,Winter,Mar,11,12.4,0,0.2,11.71,54,36,45
3/7/2021,2021,Winter,Mar,11,13,0,0.6,12.30,62,27,44.5
3/8/2021,2021,Winter,Mar,12,13.1,0,0.1,11.74,51,33,42
3/9/2021,2021,Winter,Mar,12,13,0.1,0,12.98,46,28,37
3/10/2021,2021,Spring,Mar,1,13.1,0,0,13.19,42,28,35
3/11/2021,2021,Spring,Mar,1,13.2,0,0.1,12.75,43,26,34.5
3/12/2021,2021,Spring,Mar,1,13.5,0,0.3,12.40,52,31,41.5
3/13/2021,2021,Spring,Mar,1,13.5,0,0,12.38,60,24,42
3/14/2021,2021,Spring,Mar,1,13.6,0,0.1,12.93,60,29,44.5
3/15/2021,2021,Spring,Mar,1,13.6,0,0,13.07,43,32,37.5
3/16/2021,2021,Spring,Mar,1,13.7,0,0.1,13.10,58,34,46
3/17/2021,2021,Spring,Mar,2,13.7,0,0,13.11,55,27,41
3/18/2021,2021,Spring,Mar,2,13.7,0,0,13.15,64,43,53.5
3/19/2021,2021,Spring,Mar,2,14.2,0,0.5,13.43,60,42,51
3/20/2021,2021,Spring,Mar,2,14.3,0,0.1,13.49,50,34,42
3/21/2021,2021,Spring,Mar,2,14.5,0,0.2,13.45,53,25,39
3/22/2021,2021,Spring,Mar,2,14.3,0.2,0,13.53,52,33,42.5
3/23/2021,2021,Spring,Mar,2,14.6,0,0.3,13.83,44,30,37
3/24/2021,2021,Spring,Mar,3,14.6,0,0,13.86,56,24,40
3/25/2021,2021,Spring,Mar,3,14.6,0,0,13.85,51,35,43
3/26/2021,2021,Spring,Mar,3,14.5,0.1,0,13.86,55,26,40.5
