YEAR,SEASON,TRANSECT,FAMILY,COMMON_NAME,SPECIES,TYPE,ONLY_BUDS,EARLY,PEAK,LATE,ONLY_FRUITS
2021,Spring,Forest/Grassland,Lamiaceae,White horehound,Marrubium vulgare ,Invasive,1,0,0,0,0
2021,Spring,Forest/Grassland,Poaceae,Wall barley,Hordeum murinum ,Invasive,0,1,1,0,0
2021,Spring,Forest/Grassland,Geraniaceae,Red stem storksbill,Erodium cicutarium,Invasive,1,1,1,1,1
2021,Spring,Forest/Grassland,Poaceae,Cheatgrass,Bromus tectorum,Invasive,1,1,1,1,1
2021,Fall,Forest/Grassland,Poaceae,Cheatgrass,Bromus tectorum,Invasive,0,0,0,1,1
2021,Spring,Riparian/Wetland,Brassicaceae,Broadleaf pepperweed,Lepidium latifolium,Invasive,0,0,1,0,0
2021,Spring,Riparian/Wetland,Fabaceae,Bird's-foot trefoil,Lotus corniculatus,Invasive,1,1,1,0,0
2021,Spring,Riparian/Wetland,Geraniaceae,Red stem storksbill,Erodium cicutarium,Invasive,0,1,1,1,0
2021,Spring,Riparian/Wetland,Poaceae,Cheatgrass,Bromus tectorum,Invasive,0,0,1,0,0
2021,Spring,Riparian/Wetland,Scrophulariaceae,Common mullein,Verbascum thapsus ,Invasive,0,0,0,1,0
2021,Fall,Riparian/Wetland,Asteraceae,Common mugworth,Artemisia vulgaris,Invasive,0,0,0,1,0
2021,Fall,Riparian/Wetland,Asteraceae,white horehound,Marrubium vulgare,Invasive,0,0,0,1,0
2021,Fall,Riparian/Wetland,Brassicaceae,Broadleaf pepperweed,Lepidium latifolium,Invasive,0,0,0,1,0
2021,Fall,Riparian/Wetland,Vitaceae,Virginia creeper,Parthenocissus quinquefolia,Invasive,0,0,0,0,1
2021,Fall,Riparian/Wetland,Asteraceae,Indian blanket flower,Gaillardia pulchella,Invasive,0,0,1,0,0
2021,Spring,SageBrush,Poaceae,Cheatgrass,Bromus tectorum ,Invasive,1,1,1,0,0
2022,Spring,Forest/Grassland,Brassicaceae,Clasping pepperweed,Lepidium perfoliatum,Invasive,0,0,1,1,1
2022,Spring,Forest/Grassland,Fabaceae,Astragalus sp.,Astragalus sp.,Invasive,0,1,0,0,0
2022,Spring,Forest/Grassland,Brassicaceae,Flixweed,Descurainia sophia,Invasive,0,1,1,1,1
2022,Spring,Forest/Grassland,Brassicaceae,Western tansymustard,Descurainia pinnata,Invasive,0,1,1,1,1
2022,Spring,Forest/Grassland,Poaceae,Wall barley,Hordeum murinum ,Invasive,0,0,0,1,1
2022,Spring,Forest/Grassland,Geraniaceae,Red stem storksbill,Erodium cicutarium,Invasive,1,1,1,1,1
2022,Spring,Forest/Grassland,Poaceae,Cheatgrass,Bromus tectorum,Invasive,1,1,1,1,1
2022,Fall,Forest/Grassland,Poaceae,Cheatgrass,Bromus tectorum,Invasive,0,0,1,1,0
2022,Spring,Riparian/Wetland,Brassicaceae,Broadleaf pepperweed,Lepidium latifolium,Invasive,0,0,1,0,0
2022,Spring,Riparian/Wetland,Geraniaceae,Red stem storksbill,Erodium cicutarium,Invasive,0,1,1,1,1
2022,Spring,Riparian/Wetland,Asteraceae,Common dandelion,Taraxacum officinale,Invasive,0,0,1,0,1
2022,Spring,Riparian/Wetland,Brassicaceae,Western tansymustard,Descurainia pinnata,Invasive,0,1,1,1,0
2022,Spring,Riparian/Wetland,Poaceae,Cheatgrass,Bromus tectorum,Invasive,0,1,1,1,0
2022,Fall,Riparian/Wetland,Brassicaceae,Broadleaf pepperweed,Lepidium latifolium,Invasive,0,0,0,1,0
2022,Fall,Riparian/Wetland,Lamiaceae,White horehound,Marrubium vulgare,Invasive,0,0,0,1,0
2022,Fall,Riparian/Wetland,Polygonaceae,Curly dock,Rumex crispus,Invasive,0,0,0,1,0
2022,Fall,Riparian/Wetland,Vitaceae,Virginia creeper,Parthenocissus quinquefolia,Invasive,0,0,0,1,0
2022,Spring,SageBrush,Brassicaceae,Crossflower,Chorispora tenella,Invasive,0,1,1,1,0
2022,Spring,SageBrush,Geraniaceae,Red stem storksbill,Erodium cicutarium,Invasive,0,1,1,1,1
2022,Spring,SageBrush,Brassicaceae,Desert madwort,Alyssum desertorum,Invasive,0,0,0,0,1
2022,Spring,SageBrush,Plantaginaceae,Penstemon,Penstemon sp.,Invasive,1,0,0,0,0
2022,Spring,SageBrush,Brassicaceae,Clasping pepperweed,Lepidium perfoliatum,Invasive,0,1,1,1,0
2022,Spring,SageBrush,Poaceae,Cheatgrass,Bromus tectorum ,Invasive,1,1,1,1,1
2023,Spring,Forest/Grassland,Brassicaceae,Clasping pepperweed,Lepidium perfoliatum,Invasive,0,0,1,1,0
2023,Spring,Forest/Grassland,Brassicaceae,Flixweed,Descurainia sophia,Invasive,0,1,1,1,1
2023,Spring,Forest/Grassland,Brassicaceae,Western tansymustard,Descurainia pinnata,Invasive,0,0,1,1,1
2023,Spring,Forest/Grassland,Poaceae,Wall barley,Hordeum murinum ,Invasive,0,1,1,1,0
2023,Spring,Forest/Grassland,Ranunculaceae,Curveseed butterwort,Ceratocephala testiculata,Invasive,0,0,0,1,1
