DATE,YEAR,MONTH,WEEK,SEASON,SNOW_WC,SNOW_MELT,SNOW_PACK,TEMP_MAX,TEMP_MIN,TEMP_AVERAGE
2020-12-21,2021,Dec,1,Winter,4.6,0.0,0.0,56,22,39
2020-12-22,2021,Dec,1,Winter,4.2,0.4,0.0,48,26,37
2020-12-23,2021,Dec,1,Winter,4.2,0.0,0.0,41,18,29.5
2020-12-24,2021,Dec,1,Winter,4.2,0.0,0.0,42,18,30
2020-12-25,2021,Dec,1,Winter,4.2,0.0,0.0,54,22,38
2020-12-26,2021,Dec,1,Winter,4.5,0.0,0.3,47,26,36.5
2020-12-27,2021,Dec,1,Winter,4.8,0.0,0.3,39,23,31
2020-12-28,2021,Dec,2,Winter,4.9,0.0,0.1,40,27,33.5
2020-12-29,2021,Dec,2,Winter,4.9,0.0,0.0,44,18,31
2020-12-30,2021,Dec,2,Winter,4.9,0.0,0.0,52,21,36.5
2020-12-31,2021,Dec,2,Winter,5.3,0.0,0.4,44,25,34.5
2021-01-01,2021,Jan,2,Winter,5.3,0.0,0.0,43,21,32
2021-01-02,2021,Jan,2,Winter,5.3,0.0,0.0,52,25,38.5
2021-01-03,2021,Jan,2,Winter,5.3,0.0,0.0,54,38,46
2021-01-04,2021,Jan,3,Winter,5.3,0.0,0.0,56,35,45.5
2021-01-05,2021,Jan,3,Winter,6.0,0.0,0.7,49,24,36.5
2021-01-06,2021,Jan,3,Winter,6.0,0.0,0.0,54,24,39
2021-01-07,2021,Jan,3,Winter,6.1,0.0,0.1,48,21,34.5
2021-01-08,2021,Jan,3,Winter,6.1,0.0,0.0,55,28,41.5
2021-01-09,2021,Jan,3,Winter,6.0,0.1,0.0,45,19,32
2021-01-10,2021,Jan,3,Winter,6.0,0.0,0.0,48,22,35
2021-01-11,2021,Jan,4,Winter,5.9,0.1,0.0,50,24,37
2021-01-12,2021,Jan,4,Winter,5.9,0.0,0.0,58,31,44.5
2021-01-13,2021,Jan,4,Winter,5.9,0.0,0.0,63,35,49
2021-01-14,2021,Jan,4,Winter,6.1,0.0,0.2,59,27,43
2021-01-15,2021,Jan,4,Winter,6.0,0.1,0.0,60,28,44
2021-01-16,2021,Jan,4,Winter,6.2,0.0,0.2,59,28,43.5
2021-01-17,2021,Jan,4,Winter,6.1,0.1,0.0,60,28,44
2021-01-18,2021,Jan,5,Winter,6.1,0.0,0.0,52,31,41.5
2021-01-19,2021,Jan,5,Winter,6.1,0.0,0.0,43,29,36
2021-01-20,2021,Jan,5,Winter,6.2,0.0,0.1,51,21,36
2021-01-21,2021,Jan,5,Winter,5.9,0.3,0.0,52,20,36
2021-01-22,2021,Jan,5,Winter,5.8,0.1,0.0,49,31,40
2021-01-23,2021,Jan,5,Winter,5.6,0.2,0.0,39,28,33.5
2021-01-24,2021,Jan,5,Winter,6.0,0.0,0.4,44,22,33
2021-01-25,2021,Jan,6,Winter,6.0,0.0,0.0,31,25,28
2021-01-26,2021,Jan,6,Winter,6.2,0.0,0.2,37,16,26.5
2021-01-27,2021,Jan,6,Winter,7.0,0.0,0.8,40,32,36
2021-01-28,2021,Jan,6,Winter,8.5,0.0,1.5,38,32,35
2021-01-29,2021,Jan,6,Winter,9.6,0.0,1.1,40,29,34.5
2021-01-30,2021,Jan,6,Winter,9.6,0.0,0.0,43,24,33.5
2021-01-31,2021,Jan,6,Winter,9.7,0.0,0.1,47,26,36.5
2021-02-01,2021,Feb,7,Winter,9.8,0.0,0.1,58,28,43
2021-02-02,2021,Feb,7,Winter,10.0,0.0,0.2,57,40,48.5
2021-02-03,2021,Feb,7,Winter,10.5,0.0,0.5,44,32,38
2021-02-04,2021,Feb,7,Winter,10.4,0.1,0.0,46,24,35
2021-02-05,2021,Feb,7,Winter,10.4,0.0,0.0,56,22,39
2021-02-06,2021,Feb,7,Winter,10.4,0.0,0.0,58,22,40
2021-02-07,2021,Feb,7,Winter,10.4,0.0,0.0,60,22,41
2021-02-08,2021,Feb,8,Winter,10.5,0.0,0.1,58,25,41.5
2021-02-09,2021,Feb,8,Winter,10.5,0.0,0.0,52,39,45.5
2021-02-10,2021,Feb,8,Winter,10.7,0.0,0.2,59,37,48
2021-02-11,2021,Feb,8,Winter,10.7,0.0,0.0,55,34,44.5
2021-02-12,2021,Feb,8,Winter,11.3,0.0,0.6,57,31,44
2021-02-13,2021,Feb,8,Winter,11.6,0.0,0.3,49,36,42.5
2021-02-14,2021,Feb,8,Winter,12.0,0.0,0.4,47,32,39.5
